Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1,0.0000000000 ,NaN,0,1,86,Calm
1,0.2510295000 ,NaN,0,1,86,Calm
1,0.3563235418 ,-72.6448296800 ,0,1,86,Calm
1,0.4617655417 ,-68.1406984300 ,0,1,86,Calm
1,0.5652629584 ,-67.9400103300 ,0,1,86,Calm
1,0.6720079584 ,-68.8074951000 ,0,1,86,Calm
1,0.7785428751 ,-67.9719511100 ,0,1,86,Calm
1,0.8820805417 ,-68.4473888100 ,0,1,86,Calm
1,0.9884849584 ,-67.2625378100 ,0,1,86,Calm
1,1.0948904170 ,-68.3822042500 ,0,1,86,Calm
1,1.2016756670 ,-67.8038441800 ,0,1,86,Calm
1,1.3083422920 ,-65.0403838500 ,0,1,86,Calm
1,1.4131473340 ,-66.4068347400 ,0,1,86,Calm
1,1.5198713330 ,-60.8619544900 ,0,1,86,Calm
1,1.6224642920 ,-57.7872266900 ,0,1,86,Calm
1,1.7275623750 ,-52.7917005300 ,0,1,86,Calm
1,1.8294040000 ,-60.8119727500 ,0,1,86,Calm
1,1.9361074590 ,-53.8809208900 ,0,1,86,Calm
1,2.0427912080 ,-34.0175349400 ,0,1,86,Calm
1,2.1461094590 ,-49.0193244500 ,0,1,86,Calm
1,2.2528615830 ,-20.6174982100 ,0,1,86,Calm
1,2.3594778330 ,-31.7855546800 ,0,1,86,Calm
1,2.4628038750 ,-53.5862956300 ,0,1,86,Calm
1,2.5665267920 ,-54.0815935000 ,0,1,86,Calm
1,2.6731700000 ,-62.4273426400 ,0,1,86,Calm
1,2.7794692920 ,-63.1538283500 ,0,1,86,Calm
1,2.8861978330 ,-63.1266236700 ,0,1,86,Calm
1,2.9929306250 ,-62.5651437500 ,0,1,86,Calm
1,3.0962458330 ,-62.6203121800 ,0,1,86,Calm
1,3.2023344580 ,-62.8279767400 ,0,1,86,Calm
1,3.3090500830 ,-63.3152482300 ,0,1,86,Calm
1,3.4129933750 ,-58.4035804000 ,0,1,86,Calm
1,3.5196384170 ,-62.9953572000 ,0,1,86,Calm
1,3.6263214170 ,-63.4110061800 ,0,1,86,Calm
1,3.7309314170 ,-63.1920434600 ,0,1,86,Calm
