Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1.0,0.0,-57.4,0.0,1.0,86.0,Calm
1.0,0.2510295,-57.4,0.0,1.0,86.0,Calm
1.0,0.3563235418,-72.64482968,0.0,1.0,86.0,Calm
1.0,0.4617655417,-68.14069843,0.0,1.0,86.0,Calm
1.0,0.5652629584,-67.94001033,0.0,1.0,86.0,Calm
1.0,0.6720079584,-68.8074951,0.0,1.0,86.0,Calm
1.0,0.7785428751,-67.97195111,0.0,1.0,86.0,Calm
1.0,0.8820805417,-68.44738881,0.0,1.0,86.0,Calm
1.0,0.9884849584,-67.26253781,0.0,1.0,86.0,Calm
1.0,1.094890417,-68.38220425,0.0,1.0,86.0,Calm
1.0,1.201675667,-67.80384418,0.0,1.0,86.0,Calm
1.0,1.308342292,-65.04038385,0.0,1.0,86.0,Calm
1.0,1.413147334,-66.40683474,0.0,1.0,86.0,Calm
1.0,1.519871333,-60.86195449,0.0,1.0,86.0,Calm
1.0,1.622464292,-57.78722669,0.0,1.0,86.0,Calm
1.0,1.727562375,-52.79170053,0.0,1.0,86.0,Calm
1.0,1.829404,-60.81197275,0.0,1.0,86.0,Calm
1.0,1.936107459,-53.88092089,0.0,1.0,86.0,Calm
1.0,2.042791208,-34.01753494,0.0,1.0,86.0,Calm
1.0,2.146109459,-49.01932445,0.0,1.0,86.0,Calm
1.0,2.252861583,-20.61749821,0.0,1.0,86.0,Calm
1.0,2.359477833,-31.78555468,0.0,1.0,86.0,Calm
1.0,2.462803875,-53.58629563,0.0,1.0,86.0,Calm
1.0,2.566526792,-54.0815935,0.0,1.0,86.0,Calm
1.0,2.67317,-62.42734264,0.0,1.0,86.0,Calm
1.0,2.779469292,-63.15382835,0.0,1.0,86.0,Calm
1.0,2.886197833,-63.12662367,0.0,1.0,86.0,Calm
1.0,2.992930625,-62.56514375,0.0,1.0,86.0,Calm
1.0,3.096245833,-62.62031218,0.0,1.0,86.0,Calm
1.0,3.202334458,-62.82797674,0.0,1.0,86.0,Calm
1.0,3.309050083,-63.31524823,0.0,1.0,86.0,Calm
1.0,3.412993375,-58.4035804,0.0,1.0,86.0,Calm
1.0,3.519638417,-62.9953572,0.0,1.0,86.0,Calm
1.0,3.626321417,-63.41100618,0.0,1.0,86.0,Calm
1.0,3.730931417,-63.19204346,0.0,1.0,86.0,Calm
1.0,3.837607667,-62.22973166,0.0,1.0,86.0,Calm
1.0,3.944215625,-62.98468949,0.0,1.0,86.0,Calm
1.0,4.046081958,-63.43165685,0.0,1.0,86.0,Calm
1.0,4.152822042,-58.13197558,0.0,1.0,86.0,Calm
1.0,4.25947075,-62.15458832,0.0,1.0,86.0,Calm
1.0,4.362408083,-62.6055135,0.0,1.0,86.0,Calm
1.0,4.465220167,-63.43946796,0.0,1.0,86.0,Calm
1.0,4.571840459,-63.68481589,0.0,1.0,86.0,Calm
1.0,4.676909042,-63.13186476,0.0,1.0,86.0,Calm
1.0,4.778652917,-48.54884216,0.0,1.0,86.0,Calm
1.0,4.885317083,-45.60253105,0.0,1.0,86.0,Calm
1.0,4.987882458,-50.15851766,0.0,1.0,86.0,Calm
1.0,5.093289458,-46.3749458,0.0,1.0,86.0,Calm
1.0,5.199988083,-54.02817364,0.0,1.0,86.0,Calm
1.0,5.306670833,-48.86981724,0.0,1.0,86.0,Calm
1.0,5.411449292,-63.73356418,0.0,1.0,86.0,Calm
1.0,5.518071333,-63.11439758,0.0,1.0,86.0,Calm
1.0,5.624775,-54.50108561,0.0,1.0,86.0,Calm
1.0,5.730845375,-58.76469204,0.0,1.0,86.0,Calm
1.0,5.837492625,-61.56807866,0.0,1.0,86.0,Calm
1.0,5.94222275,-58.12473883,0.0,1.0,86.0,Calm
1.0,6.046162958,-63.33501788,0.0,1.0,86.0,Calm
1.0,6.150404,-63.53809861,0.0,1.0,86.0,Calm
1.0,6.256313125,-61.8118341,0.0,1.0,86.0,Calm
1.0,6.360980083,-60.47571646,0.0,1.0,86.0,Calm
1.0,6.467529083,-61.64202807,0.0,1.0,86.0,Calm
1.0,6.5741525,-58.02996622,0.0,1.0,86.0,Calm
1.0,6.680673458,-61.63250279,0.0,1.0,86.0,Calm
1.0,6.787265667,-62.25984462,0.0,1.0,86.0,Calm
1.0,6.89255125,-62.59791346,0.0,1.0,86.0,Calm
1.0,6.994480417,-61.30229217,0.0,1.0,86.0,Calm
1.0,7.101150167,-57.85754798,0.0,1.0,86.0,Calm
1.0,7.206323458,-63.56647049,0.0,1.0,86.0,Calm
1.0,7.31116825,-63.63452301,0.0,1.0,86.0,Calm
1.0,7.417874125,-63.95371196,0.0,1.0,86.0,Calm
1.0,7.524664417,-63.68038645,0.0,1.0,86.0,Calm
1.0,7.62786825,-61.70472662,0.0,1.0,86.0,Calm
